id,model,dataset,included,m,n_clusters,entropy,norm_entropy,is_zero,pred,correct,em,f1,confidence,is_unanswerable,qtype
56dddf4066d3e219004dad5f,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56dddf4066d3e219004dad61,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad3a266604f3c001a3fea2b,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb89,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad3ab70604f3c001a3feb8a,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
56dde0ba66d3e219004dad75,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5ad3ae14604f3c001a3fec39,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56dde27d9a695914005b9651,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56dde2fa66d3e219004dad9b,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5ad3dbc6604f3c001a3ff3ec,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56de0ffd4396321400ee258e,FLAN-T5-base,squad2,True,3,1.0,-1.6017132519074577e-15,-8.008566259537289e-16,True,1060s,True,1.0,1.0,-0.07732048632169608,False,squad2
5ad3de8b604f3c001a3ff469,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
5ad3ed26604f3c001a3ff79b,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56de15dbcffd8e1900b4b5ca,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5ad3f187604f3c001a3ff871,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad3f6f5604f3c001a3ffa0a,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
56de3e414396321400ee26d9,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5ad40358604f3c001a3ffd7d,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad532575b96ef001a10ab7c,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5ad5364c5b96ef001a10ab91,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e17e6ee3433e1400422f81,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad537a15b96ef001a10ab9c,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e181d9e3433e1400422fa0,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56e19724cd28a01900c679fa,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad53e615b96ef001a10abda,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5ad541ad5b96ef001a10abee,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
56e1a564cd28a01900c67a4b,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56e1aba0e3433e1400423094,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5ad547945b96ef001a10ac18,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5ad5489b5b96ef001a10ac2c,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e1b62ecd28a01900c67aa3,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
56e1b754cd28a01900c67abd,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad54b035b96ef001a10ac53,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad54b035b96ef001a10ac54,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5c,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad54c2f5b96ef001a10ac5f,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
5ad54d625b96ef001a10ac66,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
56e1c0f6cd28a01900c67b2c,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad55ee35b96ef001a10ace4,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e1c4fce3433e1400423151,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5ad560b85b96ef001a10ad20,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad560b85b96ef001a10ad21,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
56e1c720e3433e140042316a,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56e1c9bfe3433e1400423196,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
56e1dc62cd28a01900c67bcd,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5ad568d35b96ef001a10ae1d,FLAN-T5-base,squad2,True,3,1.0,-1.6017132519074577e-15,-8.008566259537289e-16,True,unanswerable,True,1.0,1.0,-0.09156423198518268,True,squad2
56e1e9dfe3433e14004231fc,FLAN-T5-base,squad2,True,3,3.0,1.4999999999999956,0.7499999999999978,False,graph isomorphism,True,1.0,1.0,-0.1624345651035932,False,squad2
56e1e9dfe3433e14004231ff,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5ad569c05b96ef001a10ae3a,FLAN-T5-base,squad2,False,0,,,,,,,,,,True,squad2
5ad56bcd5b96ef001a10ae62,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e1f10ee3433e1400423222,FLAN-T5-base,squad2,True,3,1.0,-1.6017132519074577e-15,-8.008566259537289e-16,True,L,True,1.0,1.0,-0.13925714418292046,False,squad2
56e1fc57e3433e140042322c,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
56e1febfe3433e1400423237,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
56e2042ecd28a01900c67c20,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5ad5719f5b96ef001a10aeee,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
56e20a3ae3433e140042324a,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5ad0185a77cf76001a6869b8,FLAN-T5-base,squad2,False,2,,,,,,,,,,True,squad2
5ad0185a77cf76001a6869b9,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5705e4fe75f01819005e7704,FLAN-T5-base,squad2,True,3,2.0,0.8112781244591301,0.40563906222956503,False,Colorado Desert,False,0.0,0.5,-0.10012039976815383,False,squad2
5ad0206677cf76001a686afc,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5ad0220a77cf76001a686b2b,FLAN-T5-base,squad2,False,1,,,,,,,,,,True,squad2
5705edcd52bb8914006896ce,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5705eee952bb8914006896e0,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5705fb7f52bb891400689752,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5705fd8475f01819005e7844,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
5705fec152bb89140068977d,FLAN-T5-base,squad2,False,2,,,,,,,,,,False,squad2
5705ffde52bb891400689784,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
570603c475f01819005e7882,FLAN-T5-base,squad2,False,0,,,,,,,,,,False,squad2
5706074552bb8914006897d6,FLAN-T5-base,squad2,False,1,,,,,,,,,,False,squad2
